,0,1,2,3,4
0,1608595204000.0,31.0,0.0,-7.579999923706055,19.489999771118164
1,1608595204000.0,30.0,0.0,-7.579999923706055,19.489999771118164
2,1608595204000.0,29.0,0.0,-7.579999923706055,19.489999771118164
3,1608595204000.0,28.0,0.0,-7.579999923706055,19.489999771118164
4,1608595204000.0,27.0,0.0,-7.579999923706055,19.489999771118164
5,1608595204000.0,26.0,0.0,-7.579999923706055,19.489999771118164
6,1608595204000.0,25.0,0.0,-7.579999923706055,19.489999771118164
7,1608595204000.0,24.0,0.0,-7.579999923706055,19.489999771118164
8,1608595204000.0,23.0,0.0,-7.579999923706055,19.489999771118164
9,1608595204000.0,22.0,0.0,-7.579999923706055,19.489999771118164
10,1608595204000.0,21.0,0.0,-7.579999923706055,19.489999771118164
11,1608595204000.0,20.0,0.0,-7.579999923706055,19.489999771118164
12,1608595204000.0,19.0,0.0,-7.579999923706055,19.489999771118164
13,1608595204000.0,18.0,0.0,-7.579999923706055,19.489999771118164
14,1608595204000.0,17.0,0.0,-7.579999923706055,19.489999771118164
15,1608595204000.0,16.0,0.0,-7.579999923706055,19.489999771118164
16,1608595204000.0,15.0,0.0,-7.579999923706055,19.489999771118164
17,1608595204000.0,14.0,0.0,-7.579999923706055,19.489999771118164
18,1608595204000.0,13.0,0.0,-7.579999923706055,19.489999771118164
19,1608595204000.0,12.0,0.0,-7.579999923706055,19.489999771118164
20,1608595204000.0,11.0,0.0,-7.579999923706055,19.489999771118164
21,1608595204000.0,10.0,0.0,-7.579999923706055,19.489999771118164
22,1608595204000.0,9.0,0.0,-7.579999923706055,19.489999771118164
23,1608595204000.0,8.0,0.0,-7.579999923706055,19.489999771118164
24,1608595204000.0,7.0,0.0,-7.579999923706055,19.489999771118164
25,1608595204000.0,6.0,0.0,-7.579999923706055,19.489999771118164
26,1608595204000.0,5.0,0.0,-7.579999923706055,19.489999771118164
27,1608595204000.0,4.0,0.0,-7.579999923706055,19.489999771118164
28,1608595204000.0,3.0,0.0,-7.579999923706055,19.489999771118164
29,1608595204000.0,2.0,0.0,-7.579999923706055,19.489999771118164
30,1608595204000.0,1.0,0.0,-7.579999923706055,19.489999771118164
31,1608595503000.0,31.0,0.0,-7.579999923706055,19.489999771118164
32,1608595503000.0,30.0,0.0,-7.579999923706055,19.489999771118164
